date,open,close,high,low,volume
2020-07-21,28.3141308100,27.9874585200,28.4432803200,27.7443535600,83162093
2020-07-22,27.9418763400,27.6835773200,28.1849813000,27.5468307800,99881181
2020-07-23,27.4860545400,27.0454268000,27.6607862300,26.7795307500,119707588
2020-07-24,26.9694565000,26.2857238000,27.1973674000,25.9286633900,130419436
2020-07-27,26.5440228200,26.0198277500,26.5668139100,25.8374990300,89346903
2020-07-28,26.3313059800,26.2705297400,26.4984406400,25.9894396300,78035052
2020-07-29,26.2097535000,26.6427842100,26.8555010500,26.0046336900,96913071
2020-07-30,26.6275901500,26.2553356800,26.7187545100,26.1945594400,79887927
2020-07-31,26.2857238000,26.4376644000,26.8555010500,26.2021564700,98989455
2020-08-03,26.7415456000,26.5896050000,26.8858891700,26.4224703400,102185800
2020-08-04,26.6959634200,27.8659060400,28.2229664500,26.5896050000,235440404
2020-08-05,27.6531892000,27.5772189000,27.8507119800,27.2049644300,106065970
2020-08-06,27.6759802900,28.1242050600,28.3597129900,27.6076070200,125242884
2020-08-07,28.0178466400,27.8127268300,28.0178466400,27.5012486000,89795414
2020-08-10,27.8811001000,28.1090110000,28.4204892300,27.2657406700,122448139
2020-08-11,28.2229664500,28.5192506200,29.4764764000,28.2229664500,173638283
2020-08-12,28.7015793400,28.7091763700,29.0662367800,28.1318020900,93003691
2020-08-13,28.7547585500,28.3597129900,28.9978635100,28.3521159600,64048694
2020-08-14,28.3597129900,28.8687140000,28.9294902400,28.3065337800,67065745
2020-08-17,28.9142961800,29.6664021500,30.0310595900,28.9142961800,148309043
2020-08-18,29.6284170000,29.5144615500,29.7499694800,29.2713565900,57366054
2020-08-19,29.5068645200,29.1346100500,29.6891932400,29.1346100500,56393694
2020-08-20,29.0282516300,28.5040565600,29.0434456900,28.2077723900,73440819
2020-08-21,28.8687140000,28.6939823100,28.8763110300,28.4584743800,56125442
2020-08-24,28.9294902400,28.4888625000,29.1042219300,28.3901011100,62098893
2020-08-25,28.7167734000,28.5496387400,29.0206546000,28.4280862600,54524608
2020-08-26,28.6408031000,28.2837426900,28.7851466700,28.1166080300,62700022
